tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,best_of,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year
2000-451,Doha,Hard,32,A,2000-01-03,4,102854,Sjeng Schalken,R,193.0,NED,23.2,102831,Jacobo Diaz,R,173.0,ESP,23.4,3,R32,44.0,950.0,92.0,520.0,2000
2000-451,Doha,Hard,32,A,2000-01-03,29,102148,Fabrice Santoro,R,178.0,FRA,27.0,103017,Nicolas Kiefer,R,183.0,GER,22.4,3,SF,34.0,1055.0,6.0,2447.0,2000
2000-451,Doha,Hard,32,A,2000-01-03,30,102783,Rainer Schuettler,R,180.0,GER,23.6,101962,Younes El Aynaoui,R,193.0,MAR,28.2,3,SF,48.0,881.0,33.0,1068.0,2000
2000-451,Doha,Hard,32,A,2000-01-03,31,102148,Fabrice Santoro,R,178.0,FRA,27.0,102783,Rainer Schuettler,R,180.0,GER,23.6,3,F,34.0,1055.0,48.0,881.0,2000
2000-451,Doha,Hard,32,A,2000-01-03,3,102644,Franco Squillari,L,183.0,ARG,24.3,101733,Jan Siemerink,L,183.0,NED,29.7,3,R32,52.0,849.0,88.0,531.0,2000
2000-451,Doha,Hard,32,A,2000-01-03,1,103017,Nicolas Kiefer,R,183.0,GER,22.4,101543,Jeff Tarango,L,180.0,USA,31.0,3,R32,6.0,2447.0,55.0,814.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,16,101611,Cedric Pioline,R,188.0,FRA,30.5,103544,Andy Ram,R,180.0,ISR,19.7,3,R32,13.0,1814.0,420.0,75.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,29,102259,Jerome Golmard,L,188.0,FRA,26.2,210013,Martin Damm Sr,R,188.0,CZE,27.4,3,SF,35.0,1024.0,2000.0,0.0,2000
2000-451,Doha,Hard,32,A,2000-01-03,28,102783,Rainer Schuettler,R,180.0,GER,23.6,103018,Max Mirnyi,R,196.0,BLR,22.4,3,QF,48.0,881.0,74.0,637.0,2000
2000-451,Doha,Hard,32,A,2000-01-03,27,101962,Younes El Aynaoui,R,193.0,MAR,28.2,102025,Mikael Tillstrom,R,185.0,SWE,27.8,3,QF,33.0,1068.0,79.0,564.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,28,101611,Cedric Pioline,R,188.0,FRA,30.5,102106,Davide Sanguinetti,R,188.0,ITA,27.3,3,QF,13.0,1814.0,120.0,388.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,25,210013,Martin Damm Sr,R,188.0,CZE,27.4,102455,Lorenzo Manta,R,190.0,SUI,25.2,3,QF,2000.0,0.0,115.0,399.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,24,101611,Cedric Pioline,R,188.0,FRA,30.5,102233,Leander Paes,R,178.0,IND,26.5,3,R16,13.0,1814.0,142.0,326.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,23,102106,Davide Sanguinetti,R,188.0,ITA,27.3,103714,Andreas Vinciguerra,L,180.0,SWE,18.8,3,R16,120.0,388.0,98.0,486.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,22,102538,Tuomas Ketola,R,185.0,FIN,24.8,103181,Jiri Vanek,R,185.0,CZE,21.6,3,R16,164.0,272.0,160.0,282.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,21,103082,Markus Hantschk,R,188.0,GER,22.1,102494,Tomas Behrend,R,193.0,GER,25.0,3,R16,128.0,367.0,119.0,389.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,20,102965,Jamie Delgado,R,178.0,GBR,22.7,101969,Orlin Stanoytchev,R,185.0,BUL,28.2,3,R16,161.0,275.0,114.0,402.0,2000
2000-891,Chennai,Hard,32,A,2000-01-03,19,102259,Jerome Golmard,L,188.0,FRA,26.2,102966,Fredrik Jonsson,R,193.0,SWE,22.7,3,R16,35.0,1024.0,126.0,370.0,2000
