tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2000-301,Auckland,Hard,32,A,20000110,1,103163,1.0,,Tommy Haas,R,188.0,GER,21.7,101543,,,Jeff Tarango,L,180.0,USA,31.1,7-5 4-6 7-5,3,R32,108.0,18.0,4.0,96.0,49.0,39.0,28.0,17.0,3.0,5.0,7.0,8.0,106.0,55.0,39.0,29.0,17.0,4.0,7.0,11.0,1612.0,63.0,595.0
2000-301,Auckland,Hard,32,A,20000110,2,102607,,Q,Juan Balcells,R,190.0,ESP,24.5,102644,,,Franco Squillari,L,183.0,ARG,24.3,7-5 7-5,3,R32,85.0,5.0,3.0,76.0,52.0,39.0,13.0,12.0,5.0,6.0,5.0,10.0,74.0,32.0,25.0,18.0,12.0,3.0,6.0,211.0,157.0,49.0,723.0
2000-301,Auckland,Hard,32,A,20000110,3,103252,,,Alberto Martin,R,175.0,ESP,21.3,102238,,,Alberto Berasategui,R,173.0,ESP,26.5,6-3 6-1,3,R32,56.0,0.0,0.0,55.0,35.0,25.0,12.0,8.0,1.0,1.0,0.0,6.0,56.0,33.0,20.0,7.0,8.0,7.0,11.0,48.0,726.0,59.0,649.0
2000-301,Auckland,Hard,32,A,20000110,4,103507,7.0,,Juan Carlos Ferrero,R,183.0,ESP,19.9,103819,,,Roger Federer,R,185.0,SUI,18.4,6-4 6-4,3,R32,68.0,5.0,1.0,53.0,28.0,26.0,15.0,10.0,0.0,0.0,11.0,2.0,70.0,43.0,29.0,14.0,10.0,6.0,8.0,45.0,768.0,61.0,616.0
2000-301,Auckland,Hard,32,A,20000110,5,102103,,Q,Michael Sell,R,180.0,USA,27.3,102765,4.0,,Nicolas Escude,R,185.0,FRA,23.7,0-6 7-6(7) 6-1,3,R32,115.0,1.0,2.0,98.0,66.0,39.0,14.0,13.0,6.0,11.0,8.0,8.0,92.0,46.0,34.0,18.0,12.0,5.0,9.0,167.0,219.0,34.0,873.0
2000-301,Auckland,Hard,32,A,20000110,6,102021,,,Michael Chang,R,175.0,USA,27.8,101647,,,Byron Black,R,175.0,ZIM,30.2,7-5 4-6 7-6(1),3,R32,140.0,5.0,3.0,101.0,59.0,45.0,19.0,17.0,1.0,4.0,3.0,3.0,105.0,65.0,41.0,21.0,17.0,2.0,5.0,50.0,722.0,70.0,563.0
2000-301,Auckland,Hard,32,A,20000110,7,101320,,,Magnus Gustafsson,R,185.0,SWE,33.0,103066,,WC,Mark Nielsen,R,185.0,NZL,22.2,6-4 6-4,3,R32,84.0,4.0,8.0,60.0,31.0,28.0,14.0,10.0,2.0,3.0,1.0,5.0,69.0,45.0,28.0,12.0,10.0,9.0,12.0,60.0,626.0,246.0,135.0
2000-301,Auckland,Hard,32,A,20000110,8,102563,5.0,,Thomas Johansson,R,180.0,SWE,24.7,102785,,Q,Glenn Weiner,R,188.0,USA,23.7,7-6(5) 6-1,3,R32,77.0,8.0,2.0,69.0,29.0,26.0,20.0,10.0,1.0,2.0,7.0,3.0,64.0,41.0,24.0,13.0,9.0,3.0,6.0,43.0,785.0,334.0,88.0
2000-301,Auckland,Hard,32,A,20000110,9,102854,6.0,,Sjeng Schalken,R,193.0,NED,23.3,101964,,,Goran Ivanisevic,L,193.0,CRO,28.3,6-1 4-6 6-4,3,R32,90.0,5.0,3.0,68.0,43.0,30.0,17.0,13.0,4.0,7.0,11.0,10.0,87.0,43.0,33.0,14.0,14.0,5.0,11.0,37.0,843.0,68.0,571.0
2000-301,Auckland,Hard,32,A,20000110,10,102494,,Q,Tomas Behrend,R,193.0,GER,25.0,103082,,,Markus Hantschk,R,188.0,GER,22.1,6-2 6-2,3,R32,57.0,3.0,1.0,41.0,28.0,23.0,10.0,8.0,2.0,2.0,0.0,3.0,63.0,29.0,21.0,11.0,8.0,5.0,9.0,115.0,344.0,95.0,416.0
2000-301,Auckland,Hard,32,A,20000110,11,103292,,,Gaston Gaudio,R,175.0,ARG,21.0,102227,,,Sargis Sargsian,R,180.0,ARM,26.6,7-5 4-6 7-5,3,R32,144.0,1.0,9.0,111.0,65.0,45.0,22.0,17.0,9.0,13.0,2.0,5.0,110.0,55.0,38.0,26.0,17.0,3.0,8.0,72.0,553.0,52.0,715.0
2000-301,Auckland,Hard,32,A,20000110,12,102562,3.0,,Jiri Novak,R,190.0,CZE,24.8,102035,,WC,Jonas Bjorkman,R,183.0,SWE,27.8,7-5 6-4,3,R32,96.0,7.0,3.0,65.0,44.0,32.0,12.0,11.0,2.0,4.0,8.0,4.0,100.0,59.0,38.0,17.0,11.0,14.0,18.0,38.0,831.0,76.0,514.0
2000-301,Auckland,Hard,32,A,20000110,13,101820,8.0,,Marc Rosset,R,201.0,SUI,29.1,102950,,,Fernando Vicente,R,180.0,ESP,22.8,6-4 6-3,3,R32,59.0,3.0,3.0,49.0,30.0,23.0,12.0,9.0,2.0,3.0,2.0,7.0,55.0,32.0,20.0,8.0,10.0,1.0,5.0,46.0,761.0,53.0,707.0
2000-301,Auckland,Hard,32,A,20000110,14,102770,,,John Van Lottum,R,185.0,NED,23.7,102162,,,Chris Woodruff,R,188.0,USA,27.0,6-1 6-3,3,R32,70.0,5.0,1.0,46.0,22.0,19.0,15.0,8.0,3.0,3.0,0.0,5.0,66.0,39.0,24.0,10.0,8.0,7.0,11.0,66.0,585.0,56.0,685.0
2000-301,Auckland,Hard,32,A,20000110,15,102998,,,Jan Michael Gambill,R,190.0,USA,22.6,101735,,WC,Richard Fromberg,R,196.0,AUS,29.7,4-6 6-3 6-4,3,R32,96.0,16.0,5.0,87.0,48.0,38.0,22.0,15.0,2.0,4.0,14.0,4.0,78.0,47.0,36.0,13.0,14.0,2.0,5.0,57.0,683.0,80.0,475.0
2000-301,Auckland,Hard,32,A,20000110,16,102796,2.0,,Magnus Norman,R,188.0,SWE,23.6,102239,,LL,Francisco Costa,R,180.0,BRA,26.5,6-2 7-5,3,R32,67.0,11.0,1.0,53.0,31.0,26.0,15.0,10.0,0.0,0.0,4.0,0.0,51.0,28.0,21.0,11.0,10.0,2.0,5.0,14.0,1498.0,149.0,251.0
2000-301,Auckland,Hard,32,A,20000110,17,102607,,Q,Juan Balcells,R,190.0,ESP,24.5,103163,1.0,,Tommy Haas,R,188.0,GER,21.7,6-4 7-5,3,R16,76.0,14.0,0.0,62.0,45.0,37.0,11.0,11.0,2.0,2.0,9.0,4.0,91.0,42.0,28.0,26.0,11.0,4.0,6.0,211.0,157.0,11.0,1612.0
2000-301,Auckland,Hard,32,A,20000110,18,103507,7.0,,Juan Carlos Ferrero,R,183.0,ESP,19.9,103252,,,Alberto Martin,R,175.0,ESP,21.3,6-7(2) 6-2 6-4,3,R16,161.0,4.0,6.0,140.0,68.0,44.0,34.0,15.0,12.0,15.0,2.0,3.0,105.0,76.0,44.0,14.0,15.0,10.0,16.0,45.0,768.0,48.0,726.0
2000-301,Auckland,Hard,32,A,20000110,19,102021,,,Michael Chang,R,175.0,USA,27.8,102103,,Q,Michael Sell,R,180.0,USA,27.3,4-6 6-4 7-6(1),3,R16,151.0,4.0,2.0,112.0,69.0,43.0,23.0,16.0,5.0,9.0,2.0,2.0,96.0,65.0,40.0,18.0,16.0,8.0,12.0,50.0,722.0,167.0,219.0
2000-301,Auckland,Hard,32,A,20000110,20,101320,,,Magnus Gustafsson,R,185.0,SWE,33.0,102563,5.0,,Thomas Johansson,R,180.0,SWE,24.7,6-2 6-3,3,R16,72.0,2.0,4.0,56.0,30.0,24.0,15.0,8.0,9.0,9.0,2.0,6.0,59.0,25.0,17.0,14.0,9.0,5.0,9.0,60.0,626.0,43.0,785.0
2000-301,Auckland,Hard,32,A,20000110,21,102854,6.0,,Sjeng Schalken,R,193.0,NED,23.3,102494,,Q,Tomas Behrend,R,193.0,GER,25.0,6-4 6-1,3,R16,62.0,6.0,5.0,53.0,29.0,25.0,10.0,8.0,2.0,3.0,0.0,2.0,57.0,32.0,19.0,8.0,9.0,2.0,7.0,37.0,843.0,115.0,344.0
2000-301,Auckland,Hard,32,A,20000110,22,103292,,,Gaston Gaudio,R,175.0,ARG,21.0,102562,3.0,,Jiri Novak,R,190.0,CZE,24.8,6-4 6-7(4) 7-6(4),3,R16,143.0,0.0,6.0,132.0,91.0,57.0,23.0,17.0,9.0,13.0,3.0,5.0,121.0,71.0,49.0,23.0,17.0,9.0,14.0,72.0,553.0,38.0,831.0
2000-301,Auckland,Hard,32,A,20000110,23,101820,8.0,,Marc Rosset,R,201.0,SUI,29.1,102770,,,John Van Lottum,R,185.0,NED,23.7,6-3 6-2,3,R16,81.0,9.0,2.0,79.0,47.0,35.0,13.0,9.0,5.0,6.0,2.0,3.0,47.0,24.0,14.0,10.0,8.0,2.0,6.0,46.0,761.0,66.0,585.0
